编号,品牌,型号,前进档位数,倒档档位数,换档形式,最大扭矩(N*m),变速箱油容量(L),前进档速比,倒档速比
271,重汽,HW15710A,10,2,手自一体,1650,12,"1: 10.73
2: 7.98
3: 5.91
4: 4.38
5: 3.29
6: 2.45
7: 1.82
8: 1.35
9: 1
10: 0.75","1.10.45
2.2.39"
272,重汽,HW15710A,10,2,手自一体,1500,12,"1: 14.28
2: 10.62
3: 5.91
4: 5.58
5: 4.38
6: 3.27
7: 2.43
8: 1.8
9: 1.34
10: 1.0","1.13.91
2.3.18"
273,重汽,HW15710C,10,2,手动,1650,12,"1: 10.73
2: 7.98
3: 5.91
4: 4.38
5: 3.29
6: 2.45
7: 1.82
8: 1.35
9: 1
10: 0.75","1.10.45
2.2.39"
274,重汽,HW19710,10,2,手动,1900,12,"1: 14.284
2: 10.623
3: 7.871
4: 5.876
5: 4.375
6: 3.265
7: 2.428
8: 1.799
9: 1.343
10: 1
","1.13913
2.3.18"
275,重汽,HW19710T,10,2,手动,1900,15,"1: 14.36
2: 10.66
3: 7.88
4: 5.82
5: 4.38
6: 3.28
7: 2.44
8: 1.8
9: 1.33
10: 1","1.14.01
2.3.2"
276,重汽,HW19710TC,10,2,手动,1900,18,"1: 10.788
2: 8.014
3: 5.918
4: 4.375
5: 3.288
6: 2.466
7: 1.832
8: 1.353
9: 1
10: 0.752","1.10.531
2.2.407"
277,重汽,HW23710,10,2,手动,2300,12,"1: 14.28
2: 10.62
3: 7.87
4: 5.88
5: 4.38
6: 3.27
7: 1.34
8: 1.80
9: 1.34
10: 1","1.13.91
2.3.18"
278,重汽,HW23710A,10,2,手自一体,2300,12,"1: 14.28
2: 10.62
3: 7.87
4: 5.88
5: 4.38
6: 3.27
7: 1.34
8: 1.80
9: 1.34
10: 1","1.13.91
2.3.18"
279,重汽,HW23710AC,10,2,手自一体,2300,12,"1: 10.73
2: 7.98
3: 5.91
4: 4.38
5: 3.29
6: 2.45
7: 1.82
8: 1.35
9: 1
10: 0.75","1.10.45
2.2.93"
280,重汽,HW23710C,10,2,手动,2500,12,"1: 10.73
2: 7.98
3: 5.91
4: 4.38
5: 3.29
6: 2.45
7: 1.82
8: 1.35
9: 1
10: 0.75","1.10.45
2.2.93"
281,重汽,HW90710,10,2,手动,900,6,"1: 11.63
2: 8.706
3: 6.548
4: 5.021
5: 3.912
6: 2.973
7: 2.226
8: 1.674
9: 1.284
10: 1","1.9.692
2.3.912"
282,重汽,HW90710-B,10,2,手动,900,6,"1: 10
2: 7.467
3: 5.616
4: 4.2
5: 3.167
6: 2.375
7: 1.778
8: 1.377
9: 1
10: 0.754","1.8.313
2.1.979"
283,重汽,HW90710-E,10,2,手动,900,6,"1: 9.318
2: 6.975
3: 5.242
4: 3.912
5: 3.129
6: 2.382
7: 1.783
8: 1.34
9: 1
10: 0.8","1.7.776
2.3.912"
284,重汽,HW19712,12,2,手动,1900,13,"1: 15.01
2: 11.67
3: 9.19
4: 7.15
5: 5.63
6: 4.38
7: 3.43
8: 2.67
9: 2.1
10: 1.63
11: 1.29
12: 1.00","1: 13.81
2: 3.16"
285,重汽,HW19712A,12,2,手自一体,1900,14,"1: 15.01
2: 11.67
3: 9.19
4: 7.15
5: 5.63
6: 4.38
7: 3.43
8: 2.67
9: 2.1
10: 1.63
11: 1.29
12: 1.00","1: 13.81
2: 3.16"
286,重汽,HW19712AC,12,2,手自一体,1900,14,"1: 11.80
2: 9.17
3: 7.10
4: 5.61
5: 4.38
6: 3.44
7: 2.70
8: 2.10
9: 1.62
10: 1.28
11: 1.00
12: 0.79","1: 10.85
2: 2.48"
287,重汽,HW19712C,12,2,手动,1900,13,"1: 11.80
2: 9.17
3: 7.10
4: 5.61
5: 4.38
6: 3.44
7: 2.70
8: 2.10
9: 1.62
10: 1.28
11: 1.00
12: 0.79","1: 10.85
2: 2.48"
288,重汽,HW19712CL,12,2,手动,1900,13,"1: 11.80
2: 9.17
3: 7.10
4: 5.61
5: 4.38
6: 3.44
7: 2.70
8: 2.10
9: 1.62
10: 1.28
11: 1.00
12: 0.79","1: 10.85
2: 2.48"
289,重汽,HW19712L,12,2,手动,1900,13,"1: 15.01
2: 11.67
3: 9.19
4: 7.15
5: 5.63
6: 4.38
7: 3.43
8: 2.67
9: 2.1
10: 1.63
11: 1.29
12: 1.00","1: 13.81
2: 3.16"
290,重汽,HW21712CSTL,12,2,手动,2100,13,"1: 11.67
2: 9.17
3: 7.15
4: 5.76
5: 4.38
6: 3.44
7: 2.67
8: 2.1
9: 1.63
10: 1.28
11: 1.00
12: 0.79","1: 13.81
2: 10.85"
291,重汽,HW21712STL,12,2,手动,2100,13,"1: 15.01
2: 11.67
3: 9.19
4: 7.15
5: 5.63
6: 4.38
7: 3.43
8: 2.67
9: 2.1
10: 1.63
11: 1.29
12: 1.00","1: 17.76
2: 13.81"
292,重汽,HW25712X,12,2,手动,2500,0,"1: 15.012
2: 11.667
3: 9.03
4: 7.146
5: 5.568
6: 4.375
7: 3.431
8: 2.667
9: 2.064
10: 1.663
11: 1.273
12: 1.000","1: 13.811
2: 3.157"
293,重汽,16TS1900,16,4,手自一体,2200,14,"1: 13.12
2: 11.05
3: 9.17
4: 7.72
5: 6.3
6: 5.3
7: 4.38
8: 3.68
9: 3
10: 2.52
11: 2.1
12: 1.76
13: 1.44
14: 1.21
15: 1
16: 0.84","1.12.03
2.10.13
3.2.75
4.2.31"
294,重汽,HW20716,16,2,手动,2000,14,"1: 15.59
2: 13.13
3: 10.89
4: 9.17
5: 7.48
6: 6.3
7: 5.2
8: 4.38
9: 3.56
10: 3
11: 2.49
12: 2.1
13: 1.71
14: 1.44
15: 1.19
16: 1","1: 14.29
2: 12.03"
295,重汽,HW20716A,16,4,手自一体,2000,14,"1: 15.59
2: 13.12
3: 10.89
4: 9.17
5: 7.48
6: 6.3
7: 5.2
8: 4.38
9: 3.56
10: 3
11: 2.49
12: 2.1
13: 1.71
14: 1.44
15: 1.19
16: 1","1: 14.29
2: 12.03
3：3.27
4：2.75"
296,重汽,HW20716AC,16,4,手自一体,2200,14,"1: 13.12
2: 11.05
3: 9.17
4: 7.72
5: 6.3
6: 5.3
7: 4.38
8: 3.68
9: 3
10: 2.52
11: 2.1
12: 1.76
13: 1.44
14: 1.21
15: 1
16: 0.84","1.12.03
2.10.13
3.2.75
4.2.31"
297,重汽,HW20716ACL,16,4,手自一体,2200,14,"1: 13.12
2: 11.05
3: 9.17
4: 7.72
5: 6.3
6: 5.3
7: 4.38
8: 3.68
9: 3
10: 2.52
11: 2.1
12: 1.76
13: 1.44
14: 1.21
15: 1
16: 0.84","1.12.03
2.10.13
3.2.75
4.2.31"
298,重汽,HW20716C,16,2,手动,2200,14,"1: 13.13
2: 11.05
3: 9.17
4: 7.72
5: 6.3
6: 5.3
7: 4.38
8: 3.68
9: 3
10: 2.52
11: 2.1
12: 1.76
13: 1.44
14: 1.21
15: 1
16: 0.84","1.12.03
2.10.1
"
